cikey;domain_ref;process_id;revision_tag;creation_date;creator;modify_date;modifier;state;priority;title;status;stage;conversation_id;root_id;parent_id;scope_revision;scope_csize;scope_usize;process_guid;process_type;metadata;ext_string1;ext_string2;ext_int1;test_run_id;at_count_id;at_event_id;at_detail_id
124640243;0;"ExternalActivityFlow";"1.0";"01.09.2013 00:01:35,348000";;"01.09.2013 00:01:36,228000";;9;0;"Ven,O:1-1987887833#1,M:1-WVJC2H1-GSQEAV,I:1-WV ...";"Scope_FindOrder";;"bpel://localhost/default/ExternalStatusFlow~1.0/124640242-BpInv0-BpSeq2.8-2";"124640242";"124640242";1;887;3458;"MD5{a7f9824d711ff8988f676680d26d6e37}";0;;;;;;2;81;1
124640256;0;"SiebelUpdateFlow";"1.0";"01.09.2013 00:02:09,324000";;"01.09.2013 00:02:10,070000";;5;0;"GlobalId: 124640105A";"Update";;"bpel://localhost/default/SiebelActivityFlow~1.0/124640106-BpInv0-BpSeq1.6-1";"124640105";"124640106";3;852;2764;"MD5{c2bf6db6ae318cbe49d06969abb6c937}";0;;;;;;3;60;0
124640269;0;"SiebelActivityFlow";"1.0";"01.09.2013 00:20:39,653000";;"01.09.2013 00:20:41,144000";;9;0;"GlobalId: 124640258BIL";"initiated";;"bpel://localhost/default/SiebelActivityAsyncFlow~1.0/124640264-BpInv0-BpSeq0.3-4";"124640257";"124640264";2;789;2545;"MD5{d4b2259affa87c543276b552230f14f6}";0;;;;;;2;35;0
124640281;0;"SiebelUpdateFlow";"1.0";"01.09.2013 00:26:00,090000";;"01.09.2013 00:26:00,978000";;5;0;"GlobalId: 124640276A";"Update";;"bpel://localhost/default/SiebelActivityFlow~1.0/124640277-BpInv0-BpSeq1.6-1";"124640276";"124640277";3;852;2764;"MD5{c2bf6db6ae318cbe49d06969abb6c937}";0;;;;;;3;60;0
124640284;0;"SiebelUpdateFlow";"1.0";"01.09.2013 00:29:03,536000";;"01.09.2013 00:29:04,540000";;5;0;"GlobalId: 124640276A";"Update";;"bpel://localhost/default/SiebelActivityFlow~1.0/124640277-BpInv0-BpSeq1.6-1";"124640276";"124640277";3;849;2764;"MD5{c2bf6db6ae318cbe49d06969abb6c937}";0;;;;;;3;60;0
124640287;0;"SiebelUpdateFlow";"1.0";"01.09.2013 00:32:07,108000";;"01.09.2013 00:32:08,145000";;5;0;"GlobalId: 124640276A";"Update";;"bpel://localhost/default/SiebelActivityFlow~1.0/124640277-BpInv0-BpSeq1.6-1";"124640276";"124640277";3;846;2764;"MD5{c2bf6db6ae318cbe49d06969abb6c937}";0;;;;;;3;60;0
124640292;0;"ExternalStatusFlow";"1.0";"01.09.2013 00:48:34,982000";;"01.09.2013 00:48:46,188000";;5;0;"Ven,Compl,O:1-2229419164#1,M:1-10VC6U41-DKEKJN ...";"Scope_SyncOrderInput";;"LocalGUID:374fe5afb60b8622:536a3ade:140d60aa15b:-7605";"124640292";;5;2071;11308;"MD5{e0fce356a2d7d096b6503dbc06199865}";0;;;;;;10;389;3
124640296;0;"ExternalStatusFlow";"1.0";"01.09.2013 00:48:35,776000";;"01.09.2013 00:48:38,729000";;5;0;"Ven,Lock,I:1-117AQAO1-GTL1BP";"Scope_FetchOrder";;"LocalGUID:374fe5afb60b8622:536a3ade:140d60aa15b:-75d9";"124640296";;4;1239;5277;"MD5{e0fce356a2d7d096b6503dbc06199865}";0;;;;;;4;136;1
124640300;0;"SyncModuleAsyncFlow";"1.0";"01.09.2013 00:48:43,825000";;"01.09.2013 00:48:46,593000";;5;0;"Type: Access OrderId: 1-2249506464#1 Source: V ...";"initiated";;"bpel://localhost/default/ExternalStatusFlow~1.0/124640293-BpInv52-BpSeq90.85-3";"124640293";"124640293";2;677;1921;"MD5{de8e44746de3fbb05d151ed4c403d6c2}";0;;;;;;3;13;0
124640307;0;"SyncModuleFlow";"1.0";"01.09.2013 00:48:44,319000";;"01.09.2013 00:48:46,335000";;5;0;"Type: Telephony OrderId: 1-2229419164#1 Source ...";"initiated";;"bpel://localhost/default/SyncModuleAsyncFlow~1.0/124640301-BpInv0-BpSeq0.3-4";"124640288";"124640301";2;799;2511;"MD5{3ab6e96d6a52e32fde37b0a57eb42066}";0;;;;;;5;44;0
